Date,Employment_Bachelors&Higher,Employment_SomeCollege_Associate
1/1/2004,39838,32460
1/1/2004,39167,32460
1/1/2004,39038,32460
1/1/2004,39106,32460
1/1/2004,39838,32628
1/1/2004,39167,32628
1/1/2004,39038,32628
1/1/2004,39106,32628
1/1/2004,39838,32799
1/1/2004,39167,32799
1/1/2004,39038,32799
1/1/2004,39106,32799
1/1/2004,39838,33118
1/1/2004,39167,33118
1/1/2004,39038,33118
1/1/2004,39106,33118
1/1/2004,39838,33205
1/1/2004,39167,33205
1/1/2004,39038,33205
1/1/2004,39106,33205
1/1/2004,39838,33192
1/1/2004,39167,33192
1/1/2004,39038,33192
1/1/2004,39106,33192
1/1/2004,39838,33152
1/1/2004,39167,33152
1/1/2004,39038,33152
1/1/2004,39106,33152
1/1/2004,39838,33076
1/1/2004,39167,33076
1/1/2004,39038,33076
1/1/2004,39106,33076
1/1/2004,39838,33006
1/1/2004,39167,33006
1/1/2004,39038,33006
1/1/2004,39106,33006
1/1/2004,39838,33047
1/1/2004,39167,33047
1/1/2004,39038,33047
1/1/2004,39106,33047
1/1/2004,39838,33029
1/1/2004,39167,33029
1/1/2004,39038,33029
1/1/2004,39106,33029
1/1/2004,39838,33020
1/1/2004,39167,33020
1/1/2004,39038,33020
1/1/2004,39106,33020
1/1/2005,40802,33122
1/1/2005,40435,33122
1/1/2005,39979,33122
1/1/2005,39661,33122
1/1/2005,40802,33309
1/1/2005,40435,33309
1/1/2005,39979,33309
1/1/2005,39661,33309
1/1/2005,40802,33449
1/1/2005,40435,33449
1/1/2005,39979,33449
1/1/2005,39661,33449
1/1/2005,40802,33467
1/1/2005,40435,33467
1/1/2005,39979,33467
1/1/2005,39661,33467
1/1/2005,40802,33472
1/1/2005,40435,33472
1/1/2005,39979,33472
1/1/2005,39661,33472
1/1/2005,40802,33491
1/1/2005,40435,33491
1/1/2005,39979,33491
1/1/2005,39661,33491
1/1/2005,40802,33619
1/1/2005,40435,33619
1/1/2005,39979,33619
1/1/2005,39661,33619
1/1/2005,40802,33858
1/1/2005,40435,33858
1/1/2005,39979,33858
