DATE,NCHVAC,CAHVAC,MAHVAC,FLHVAC,FLHOWN,CAHOWN,MAHOWN,NCHOWN,NCRVAC,MARVAC,FLRVAC,CARVAC
1/1/2004,2.5,0.9,0.7,1.7,72.2,59.7,63.8,69.8,13.3,6.5,11.7,5.4
1/1/2005,2.4,1.2,1.1,2,72.4,59.7,63.4,70.9,13.8,5.7,10.1,6
1/1/2006,2.2,1.9,1.8,4.3,72.4,60.2,65.2,70.2,11.7,6.2,10.7,5.8
1/1/2007,2.4,2.3,1.7,5.1,71.8,58.3,64.3,70.3,12.4,5.7,13.7,6.1
1/1/2008,3.2,3.1,1.6,4.7,71.1,57.5,65.7,69.4,12.8,6.5,16.9,6.4
1/1/2009,3.5,2.2,1.4,4.3,70.9,57,65.1,70.1,12.8,6,17.8,7.6
1/1/2010,3.4,2.5,1.2,4.5,69.3,56.1,65.3,69.5,12,6.6,15.1,7.5
1/1/2011,2.5,2.1,1.6,3.3,69,55.3,65.3,68.3,11.3,5.8,14.9,6.1
1/1/2012,2.4,1.6,1.6,2.2,67,54.5,65.8,67.2,11.2,6.5,13.1,5.2
1/1/2013,2.6,1.2,1.7,2.4,66.1,54.3,65.3,67.3,9.6,7.3,10.3,5.1
1/1/2014,2.2,1.1,1.3,2.5,64.9,54.2,63,66.4,8.1,5.6,10.1,4.5
1/1/2015,2.6,1.2,1.4,2.4,64.8,54.3,60.5,65.2,9.8,4.2,8,4.1
1/1/2016,2.1,1,1.2,2.2,64.3,53.8,59.7,65.7,8.3,4.1,8.1,3.6
1/1/2017,1.9,1,1,2,64.1,54.4,60,66.3,7.8,4.9,8.5,4.3
1/1/2018,1.4,1.2,1,2.2,65.5,55.1,61.5,65.2,7.1,4.2,8.2,4.4
1/1/2019,1.3,1,0.9,1.8,66,54.8,61.3,65.1,6.7,3.6,8.4,4.2
