DATE,CANA,MANA,FLNA,NCNA
1/1/2004,14623.9,3195.1,7351.5,3781.6
2/1/2004,14642.4,3202.1,7371.1,3785.6
3/1/2004,14665,3209.4,7391.1,3792
4/1/2004,14683.6,3208.8,7432.2,3802.1
5/1/2004,14712.6,3212.1,7455.1,3814.2
6/1/2004,14728.9,3212.7,7495.2,3819.6
7/1/2004,14774.3,3214.9,7517.6,3836.6
8/1/2004,14777.5,3215.4,7519.2,3846.3
9/1/2004,14779.3,3218.3,7482.9,3855.6
10/1/2004,14841.1,3218.4,7559.5,3852.8
11/1/2004,14865.6,3217.5,7598.1,3857.7
12/1/2004,14860,3219,7627.4,3868.5
1/1/2005,14881,3215.4,7648.9,3876.5
2/1/2005,14908.1,3223.9,7670.5,3885.2
3/1/2005,14929.2,3218.2,7669.5,3884.6
4/1/2005,14979.7,3227.2,7716.9,3889.2
5/1/2005,14985.7,3229,7754.1,3888.6
6/1/2005,15001.6,3227.3,7761.9,3885.8
7/1/2005,15066.3,3235.2,7814.6,3904
8/1/2005,15099,3236.1,7839.1,3912.5
9/1/2005,15137.2,3241.2,7871.9,3927.2
10/1/2005,15148.4,3234.3,7872.3,3927.8
11/1/2005,15189.2,3242,7879.5,3935.9
12/1/2005,15214.2,3245.3,7902.4,3940.8
1/1/2006,15214.2,3250.7,7912.5,3965.9
2/1/2006,15248.8,3253.7,7924.7,3969.8
3/1/2006,15259.4,3259.2,7952.9,3978.6
4/1/2006,15270.8,3263.8,7961.7,4010.2
5/1/2006,15312.1,3259.9,7977.8,4014.9
6/1/2006,15343.4,3266.8,7993.6,4022.9
7/1/2006,15345.1,3270,7998.2,4043.5
8/1/2006,15374.8,3271.5,8017.3,4048.5
9/1/2006,15386,3274.2,8020,4051.9
10/1/2006,15379.5,3277.1,8016.6,4069.2
11/1/2006,15382.2,3279.9,8021.1,4087
12/1/2006,15392.2,3286.7,8031.4,4094.8
1/1/2007,15408.5,3294.6,8044,4100.7
2/1/2007,15434.1,3293.9,8045.2,4111.1
3/1/2007,15469.7,3294.5,8055.6,4123.9
4/1/2007,15425.5,3297.1,8040.9,4119.8
5/1/2007,15444.5,3303.4,8031.6,4128
6/1/2007,15462.8,3310.3,8025,4140.8
7/1/2007,15505.2,3308.8,7996.9,4136
8/1/2007,15484.6,3309,7983.7,4140.8
9/1/2007,15484.2,3308.9,7968.1,4143
10/1/2007,15466.6,3312.8,7947,4145.8
11/1/2007,15474.6,3317.9,7940.4,4154.1
12/1/2007,15480.9,3317.9,7930.6,4160.9
1/1/2008,15430.6,3325.6,7901,4162.5
2/1/2008,15442.2,3329,7893.9,4168.4
3/1/2008,15425.9,3329.7,7863.6,4162.4
4/1/2008,15433.7,3331.2,7812.4,4150.2
5/1/2008,15397.3,3327.4,7776.3,4144.1
6/1/2008,15375.4,3325.9,7743.9,4137.9
7/1/2008,15346.9,3325.4,7705.3,4129.6
8/1/2008,15289.8,3321.3,7670.6,4121.3
9/1/2008,15262.6,3315.3,7637.8,4116.8
10/1/2008,15163.9,3308.5,7578.8,4088
11/1/2008,15064.7,3296.3,7532.7,4064.5
12/1/2008,14984.5,3281.9,7488.9,4044.3
