Year,State,Age Group (Years),State Rate,State Births
1/1/1990,Alabama,15-17 years,47.4,4222
1/1/1990,Alaska,15-17 years,31.2,335
1/1/1990,Arizona,15-17 years,47.7,3436
1/1/1990,Arkansas,15-17 years,50.4,2549
1/1/1990,California,15-17 years,44.6,24880
1/1/1990,Colorado,15-17 years,33.1,2061
1/1/1990,Connecticut,15-17 years,26.4,1519
1/1/1990,Delaware,15-17 years,38.4,462
1/1/1990,District of Columbia,15-17 years,88.4,841
1/1/1990,Florida,15-17 years,44.9,9918
1/1/1990,Georgia,15-17 years,50.1,6878
1/1/1990,Hawaii,15-17 years,32.5,661
1/1/1990,Idaho,15-17 years,26.3,611
1/1/1990,Illinois,15-17 years,40.1,9067
1/1/1990,Indiana,15-17 years,35.3,4130
1/1/1990,Iowa,15-17 years,20.4,1120
1/1/1990,Kansas,15-17 years,30.4,1449
1/1/1990,Kentucky,15-17 years,40.8,3204
1/1/1990,Louisiana,15-17 years,49.5,4653
1/1/1990,Maine,15-17 years,23.3,570
1/1/1990,Maryland,15-17 years,33.5,2866
1/1/1990,Massachusetts,15-17 years,23.7,2502
1/1/1990,Michigan,15-17 years,36,7007
1/1/1990,Minnesota,15-17 years,19.9,1650
1/1/1990,Mississippi,15-17 years,57.5,3544
1/1/1990,Missouri,15-17 years,39.3,3941
1/1/1990,Montana,15-17 years,24,399
1/1/1990,Nebraska,15-17 years,23,728
1/1/1990,Nevada,15-17 years,42.5,889
1/1/1990,New Hampshire,15-17 years,17.1,348
1/1/1990,New Jersey,15-17 years,24.4,3494
1/1/1990,New Mexico,15-17 years,46.9,1560
1/1/1990,New York,15-17 years,27.5,9260
1/1/1990,North Carolina,15-17 years,44.9,5946
1/1/1990,North Dakota,15-17 years,15.6,201
1/1/1990,Ohio,15-17 years,34.3,7555
1/1/1990,Oklahoma,15-17 years,38.8,2528
1/1/1990,Oregon,15-17 years,30.7,1659
1/1/1990,Pennsylvania,15-17 years,28.4,6297
1/1/1990,Rhode Island,15-17 years,31.6,552
1/1/1990,South Carolina,15-17 years,47,3540
1/1/1990,South Dakota,15-17 years,23.9,348
1/1/1990,Tennessee,15-17 years,45,4515
1/1/1990,Texas,15-17 years,48,17693
1/1/1990,Utah,15-17 years,26.3,1161
1/1/1990,Vermont,15-17 years,19.5,209
1/1/1990,Virginia,15-17 years,32.1,3746
1/1/1990,Washington,15-17 years,29.6,2677
1/1/1990,West Virginia,15-17 years,33,1313
1/1/1990,Wisconsin,15-17 years,24.2,2329
1/1/1990,Wyoming,15-17 years,29.7,304
1/1/1991,Alabama,15-17 years,47.8,4202
1/1/1991,Alaska,15-17 years,34.7,395
1/1/1991,Arizona,15-17 years,50.7,3728
1/1/1991,Arkansas,15-17 years,49.1,2493
1/1/1991,California,15-17 years,46.2,25950
