DATE,CAUR,NCUR,MAUR,FLUR,SNAP NC,SNAP FL,SNAP MA,SNAP CA
1/1/2004,6.5,5.9,5.5,4.8,715617,1199925,330126,1766364
2/1/2004,6.5,5.8,5.4,4.7,714740,1180273,331356,1812244
3/1/2004,6.5,5.7,5.3,4.7,728041,1174012,333284,1863140
4/1/2004,6.4,5.7,5.3,4.7,739212,1166685,334183,1892315
5/1/2004,6.4,5.6,5.2,4.7,747163,1184419,335339,1895604
6/1/2004,6.3,5.4,5.2,4.7,755306,1213617,337977,1902140
7/1/2004,6.2,5.3,5.1,4.6,759120,1239824,342372,1932892
8/1/2004,6.1,5.2,5,4.6,768138,1246023,347343,1957204
9/1/2004,6,5.2,5,4.5,774483,1269141,351753,1959086
10/1/2004,5.9,5.2,4.9,4.5,784801,1308220,353670,1973748
11/1/2004,5.9,5.3,4.9,4.4,791176,1340278,355005,1977716
12/1/2004,5.8,5.4,4.9,4.4,796716,1385961,355609,1982354
1/1/2005,5.8,5.4,4.9,4.3,795677,1326100,357406,1988759
2/1/2005,5.7,5.5,4.9,4.2,788696,1259644,357238,1983187
3/1/2005,5.6,5.4,4.9,4,787454,1242766,358773,1998531
4/1/2005,5.5,5.4,4.8,3.9,791269,1226093,359667,1990739
5/1/2005,5.4,5.3,4.8,3.8,795959,1249673,361990,1996754
6/1/2005,5.3,5.3,4.8,3.6,804102,1264328,364363,1995931
7/1/2005,5.3,5.3,4.8,3.5,805896,1268620,392052,1991121
8/1/2005,5.3,5.2,4.8,3.5,818124,1259562,398392,1998974
9/1/2005,5.3,5.2,4.8,3.4,835168,1284886,403304,2013218
10/1/2005,5.3,5.1,4.9,3.4,844354,1284958,406054,2014236
11/1/2005,5.2,5,4.9,3.3,854678,1315153,427840,2010032
12/1/2005,5.1,4.8,4.9,3.3,857361,1340114,428862,2008457
1/1/2006,5,4.7,4.9,3.2,852423,1274384,431181,2012051
2/1/2006,5,4.6,4.9,3.2,844865,1226385,430378,1990419
3/1/2006,4.9,4.6,4.9,3.1,848213,1219161,431600,2002687
4/1/2006,4.9,4.7,4.9,3.2,843913,1205865,430752,1989586
5/1/2006,4.9,4.7,4.9,3.2,848004,1220014,432063,1999244
6/1/2006,4.9,4.8,4.9,3.2,855547,1232111,434201,2005494
7/1/2006,4.9,4.8,4.9,3.2,859132,1222353,437525,2001655
8/1/2006,4.9,4.9,4.9,3.3,871393,1217679,442377,2008181
9/1/2006,4.9,4.9,4.9,3.3,872978,1208053,445381,2006461
10/1/2006,4.9,4.9,4.9,3.3,878421,1214308,449184,2008954
11/1/2006,4.9,4.8,4.9,3.3,882963,1224329,449111,2013386
12/1/2006,4.9,4.7,4.8,3.4,880734,1228022,449359,2026945
1/1/2007,4.9,4.7,4.8,3.4,879784,1216090,452130,2033130
2/1/2007,5,4.6,4.7,3.5,870023,1193991,450838,2041062
3/1/2007,5.1,4.6,4.7,3.6,870376,1200508,453756,2065890
4/1/2007,5.1,4.6,4.6,3.7,868892,1190171,452344,2061934
5/1/2007,5.2,4.6,4.6,3.8,874694,1218894,454647,2060397
6/1/2007,5.3,4.6,4.6,3.9,883722,1254115,457509,2060397
7/1/2007,5.4,4.7,4.6,4,892615,1263801,463002,2055004
8/1/2007,5.5,4.7,4.5,4.2,905103,1288658,468422,2073792
9/1/2007,5.6,4.8,4.5,4.3,908025,1300754,473998,2077333
10/1/2007,5.7,4.9,4.5,4.4,915318,1332076,479248,2107994
11/1/2007,5.8,4.9,4.5,4.6,921145,1359634,483335,2118581
12/1/2007,5.9,4.9,4.6,4.7,923151,1384111,484823,2137063
1/1/2008,6,4.9,4.6,4.8,927926,1395527,491696,2160179
2/1/2008,6.1,5,4.7,5,927714,1407409,493498,2176434
3/1/2008,6.2,5.1,4.8,5.2,928874,1428125,499276,2209057
4/1/2008,6.5,5.2,5,5.4,938216,1441093,502455,2228659
5/1/2008,6.7,5.5,5.2,5.7,945711,1475659,507157,2252135
6/1/2008,7,5.7,5.4,6,957376,1505590,514298,2270623
7/1/2008,7.3,5.9,5.6,6.3,973999,1540999,527000,2298023
8/1/2008,7.6,6.1,5.8,6.7,993081,1576981,537675,2325856
9/1/2008,7.9,6.3,6,7,1011226,1611934,548920,2356921
